"wC"	"wCl"	"wB"	"NewHA"	"Cropkcal"	"Pastkcal"	"EmittedC"	"HabAvgImpac"	"HabStdImpac"	"DelHAvgImpac"	"DelHStdImpac"	"DelQAvgImpac"	"DelQStdImpac"	"ClimRegIndexAvgImpac"	"ClimRegIndexStdImpac"	"Combokcal"	"SimulationFactor"
"0.4"	"0.09"	"0.51"	"111060000"	"5.7357e+14"	"2.675e+12"	"-1.521e+10"	"526.26"	"128.65"	"0.37757"	"0.33445"	"-0.95563"	"0.31886"	"0.59057"	"0.18774"	"5.7625e+14"	"AllLand"
"0.4"	"0.12"	"0.48"	"111600000"	"5.7683e+14"	"2.704e+12"	"-1.5411e+10"	"528.07"	"133.14"	"0.36869"	"0.33603"	"-0.94433"	"0.3245"	"0.58245"	"0.19248"	"5.7953e+14"	"AllLand"
"0.4"	"0.15"	"0.45"	"112080000"	"5.797e+14"	"2.734e+12"	"-1.5644e+10"	"531.19"	"140.29"	"0.35751"	"0.33825"	"-0.93024"	"0.33049"	"0.57248"	"0.19744"	"5.8244e+14"	"AllLand"
"0.4"	"0.18"	"0.42"	"113100000"	"5.8556e+14"	"2.7825e+12"	"-1.6078e+10"	"534.8"	"146.6"	"0.34469"	"0.33927"	"-0.91337"	"0.33602"	"0.56042"	"0.20226"	"5.8834e+14"	"AllLand"
"0.4"	"0.21"	"0.39"	"108650000"	"5.6135e+14"	"2.6879e+12"	"-1.5334e+10"	"537.71"	"154.66"	"0.32763"	"0.34289"	"-0.89511"	"0.34196"	"0.54743"	"0.20582"	"5.6404e+14"	"AllLand"
"0.4"	"0.24"	"0.36"	"110610000"	"5.7255e+14"	"2.7708e+12"	"-1.6136e+10"	"542.66"	"161.72"	"0.31097"	"0.34319"	"-0.87386"	"0.3468"	"0.53212"	"0.21014"	"5.7532e+14"	"AllLand"
"0.4"	"0.27"	"0.33"	"113430000"	"5.8849e+14"	"2.8828e+12"	"-1.7228e+10"	"548.67"	"170.02"	"0.29203"	"0.34281"	"-0.85"	"0.35114"	"0.5149"	"0.21391"	"5.9137e+14"	"AllLand"
"0.4"	"0.3"	"0.3"	"110900000"	"5.7509e+14"	"2.8467e+12"	"-1.7035e+10"	"553.95"	"179.78"	"0.27189"	"0.34387"	"-0.82801"	"0.35532"	"0.49913"	"0.21587"	"5.7794e+14"	"AllLand"
"0"	"0.85"	"0.15"	"111930000"	"6.2059e+14"	"3.619e+12"	"-3.2249e+10"	"699.7"	"176.43"	"0.047857"	"0.1072"	"-0.41935"	"0.092167"	"0.2078"	"0.041775"	"6.2421e+14"	"AllLand"
"0.4"	"0.33"	"0.27"	"109240000"	"5.6676e+14"	"2.8332e+12"	"-1.7075e+10"	"559.56"	"188.8"	"0.2501"	"0.3431"	"-0.80392"	"0.35792"	"0.48186"	"0.21626"	"5.696e+14"	"AllLand"
"0.4"	"0.36"	"0.24"	"109280000"	"5.678e+14"	"2.8731e+12"	"-1.7639e+10"	"567.47"	"199.36"	"0.2213"	"0.33615"	"-0.77098"	"0.35563"	"0.4579"	"0.21185"	"5.7067e+14"	"AllLand"
"0.4"	"0.39"	"0.21"	"109510000"	"5.6988e+14"	"2.9163e+12"	"-1.8201e+10"	"577.25"	"211.54"	"0.19329"	"0.32815"	"-0.73879"	"0.35233"	"0.43474"	"0.20629"	"5.728e+14"	"AllLand"
"0.4"	"0.42"	"0.18"	"109060000"	"5.6819e+14"	"2.9351e+12"	"-1.8531e+10"	"586.11"	"222.47"	"0.16924"	"0.32164"	"-0.71227"	"0.34974"	"0.41572"	"0.20152"	"5.7112e+14"	"AllLand"
"0.4"	"0.45"	"0.15"	"108090000"	"5.6356e+14"	"2.9329e+12"	"-1.8627e+10"	"594.72"	"233.54"	"0.15094"	"0.31697"	"-0.69176"	"0.34806"	"0.40139"	"0.19811"	"5.665e+14"	"AllLand"
"0.4"	"0.48"	"0.12"	"112360000"	"5.8779e+14"	"3.0919e+12"	"-2.0131e+10"	"606.61"	"242.52"	"0.13803"	"0.30994"	"-0.67175"	"0.34424"	"0.38729"	"0.19575"	"5.9088e+14"	"AllLand"
