wC	wCl	wB	NewHA	Cropkcal	Pastkcal	EmittedC	HabAvgImpac	HabStdImpac	DelHAvgImpac	DelHStdImpac	DelQAvgImpac	DelQStdImpac	ClimRegIndexAvgImpac	ClimRegIndexStdImpac	Combokcal
0.5	0.375	0.125	109520743.1	5.64965E+14	2.8296E+12	-16677185899	798.82633	344.176858	0.246714	0.35944	-0.810047	0.356938	0.489682	0.214226	5.67795E+14
0.5	0.4	0.1	109796189.5	5.6701E+14	2.86327E+12	-17070443619	814.899986	365.821988	0.230866	0.356127	-0.791634	0.357048	0.476101	0.213754	5.69873E+14
0.5	0.425	0.075	108297242.8	5.59488E+14	2.84636E+12	-17062499542	834.702331	397.209481	0.210665	0.350124	-0.769005	0.355249	0.459557	0.210011	5.62335E+14
0.5	0.45	0.05	109829258.3	5.68765E+14	2.91933E+12	-17833309859	866.65972	441.030286	0.19121	0.342572	-0.744355	0.352983	0.441842	0.206567	5.71685E+14
0.05	0.0475	0.9025	109867994.5	5.87201E+14	2.80533E+12	-22104837114	567.559918	96.154384	0.331931	0.358517	-0.889264	0.325536	0.555058	0.18765	5.90006E+14
0.5	0.475	0.025	108839360.5	5.64211E+14	2.91518E+12	-17956364224	898.534355	483.26344	0.172949	0.334246	-0.722102	0.350994	0.42571	0.202181	5.67126E+14
0.5	0.5	0	110019424	5.71584E+14	2.97445E+12	-18631916295	937.350713	525.576837	0.159293	0.325779	-0.702445	0.348801	0.41152	0.198939	5.74558E+14
0.55	0	0.45	109608871.3	5.66592E+14	2.62832E+12	-14934595744	700.059222	219.383887	0.384817	0.355116	-0.968679	0.317211	0.60703	0.177037	5.69221E+14
0.55	0.0225	0.4275	109394107.9	5.6507E+14	2.62348E+12	-14851940896	702.391178	221.862418	0.381309	0.356045	-0.9649	0.319341	0.604239	0.178895	5.67694E+14
0.55	0.045	0.405	109187823.1	5.63602E+14	2.6189E+12	-14766416220	705.575303	224.964201	0.377541	0.357029	-0.960983	0.321116	0.601349	0.180525	5.66221E+14
